product_handle,author,author_location,rating,title,content,author_country,commented_at,verify_purchase,feature,publish
multi-colour-printed-cotton-blended-midi-dress-2,Komal Roy,"Jaipur, India",5,Perfect fit,"Bahut sundar hai, loved it. The dress flows beautifully and is so comfortable. Packaging was lovely.",IN,2/11/2026,yes,no,yes
black-solid-viscose-blended-korean-style-co-ord-set,Sanya Chauhan,"Noida, India",5,Exceeded expectations,Obsessed with this! Top and pants both fit perfectly and the set looks so trendy. Will definitely order again.,IN,1/14/2026,yes,no,yes
pink-embroidered-cotton-blended-midi-dress,Aarohi Joshi,"Chandigarh, India",5,Best purchase,Obsessed with this! The dress flows beautifully and is so comfortable. Lovely Lady never disappoints.,IN,5/3/2026,yes,no,yes
black-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Meera Saxena,"Patna, India",5,Exceeded expectations,"Loved it the moment I opened the parcel. Complete set, perfect for functions and got so many compliments. Packaging was lovely.",IN,4/24/2026,yes,no,yes
pink-embroidered-cotton-blended-midi-dress,Aanya Nair,"Surat, India",4,Happy with it,Good one for the price. Nice print; fit was slightly loose at the waist. Would buy again.,IN,5/13/2026,yes,no,yes
navy-printed-viscose-blended-midi-dress-2,Lavanya Sinha,"Hyderabad, India",5,Absolutely love it,Such a beautiful piece. The dress flows beautifully and is so comfortable. Highly recommend to everyone!,IN,3/17/2026,yes,no,yes
pink-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Lavanya Nair,"Surat, India",5,Got so many compliments,Absolutely in love with this! The colour and the work look so elegant in person. Highly recommend to everyone!,IN,2/8/2026,yes,no,yes
dark-green-printed-viscose-blended-midi-dress,Sanya Naidu,"Hyderabad, India",5,Bahut sundar,Worth every single rupee. The dress flows beautifully and is so comfortable. Lovely Lady never disappoints.,IN,2/25/2026,yes,no,yes
maroon-embroidered-silk-blended-kurta-bottom-dupatta-set-3,Megha Jain,"Thane, India",5,So elegant,Loved it the moment I opened the parcel. The dupatta is gorgeous and the whole set feels festive and premium. Packaging was lovely.,IN,4/8/2026,yes,no,yes
navy-embroidered-silk-blended-kurta-bottom-dupatta-set-2,Kavya Reddy,"Indore, India",5,Perfect fit,"Bahut sundar hai, loved it. The dupatta is gorgeous and the whole set feels festive and premium. Adding more to my cart soon.",IN,2/27/2026,yes,no,yes
green-embroidered-silk-blended-spaghetti-strap-kurta-bottom-dupatta-set,Naina Khanna,"Lucknow, India",5,Beautiful piece,Worth every single rupee. The colour and the work look so elegant in person. Will definitely order again.,IN,4/24/2026,yes,no,yes
